"Database ID","Entry","Protein name","Ratio (cancer/normal)","SD"
"SW:143S_HUMAN","P31947","14-3-3 protein ␴ (stratifin)a",2.73,1.18
"SW:ACTC_HUMAN","P68032","Actin, ␣ cardiaca",3.79,1.91
"SW:ACTB_HUMAN","P60709","Actin, cytoplasmic 1 (␤-actin)",4.24,3.93
"SW:ACTG_HUMAN","P63261","Actin, cytoplasmic 2a",2.6,2.08
"SW:CAP1_HUMAN","Q01518","Adenylyl cyclase–associated protein 1 (cap 1)a",2.2,0.25
"SW:AKAC_HUMAN","Q02952","A-kinase anchor protein 12",3.09,0.07
"SW:ADHB_HUMAN","P00325","Alcohol dehydrogenase ␤ chain",2.36,0.13
"SW:AMBP_HUMAN","P02760","AMBP protein precursor",2.72,0.22
"SW:ANX4_HUMAN","P09525","Annexin IV (lipocortin IV) (endonexin I)",2.92,3.51
"SW:ANX1_HUMAN","P04083","Annexin I (lipocortin I) (calpactin II)",2.29,0.77
"SW:ANX2_HUMAN","P07355","Annexin II (lipocortin II) (calpactin I heavy chain)a",2.68,0.61
"SW:APOD_HUMAN","P05090","Apolipoprotein D precursor (APOD)",2.41,0.52
"SW:BASI_HUMAN","P35613","Extracellular matrix metalloproteinase inducer",2.54,0.69
"SW:APOH_HUMAN","P02749","␤2-glycoprotein I precursor (apolipoprotein H)a",1.98,0.7
"SW:B2MG_HUMAN","P61769","␤2-microglobulin precursor",4.03,0.78
"SW:PGS2_HUMAN","P07585","Bone/cartilage proteoglycan I precursor (biglycan)a",2.59,0.5
"SW:CATB_HUMAN","P07858","Cathepsin B precursor",3.02,2.86
"SW:CATD_HUMAN","P07339","Cathepsin D precursora",3.44,2.13
"SW:CBF_HUMAN","Q03701","CCAAT-box-binding transcription factor",2.04,0.01
"SW:C166_HUMAN","Q13740","CD166 antigen precursor",2.54,0.15
"PIR1:KUHU","P00450","Ceruloplasmin precursor (ec 1.16.3.1) (ferroxidase)",3.38,1.77
"SW:CLI4_HUMAN","Q9Y696","Chloride intracellular channel protein 4",3.68,0.16
