Protein,"Acc no.",Description,"Higher in"
"sw: AAC4_HUMAN",O43707,"alpha-actinin 4",cancer
sw:ABP2_HUMAN,P21333,"endothelial actin-binding protein (alpha-filamin)",cancer
sw:ANX2_HUMAN,P07355,"human annexin ii (lipocortin ii)",cancer
sw:CALD_HUMAN,Q05682,"caldesmon (cdm)",cancer
sw:CAPB_HUMAN,P47756,"f-actin capping protein beta subunit",cancer
sw:CAPG_HUMAN,P40121,"macrophage capping protein",cancer
sw:COF1_HUMAN,P23528,"cofilin, nonmuscle isoform (p18)",cancer
sw:DEST_HUMAN,P18282,"destrin (actin-depolymerizing factor) (adf)",cancer
sw:DYI2_HUMAN,Q13409,"dynein intermediate chain 2 (fragment)",cancer
sw:GELS_HUMAN,P06396,"gelsolin precursor",cancer
sw:FSC1_HUMAN,Q16658,"fascin (singed-like protein) (p55)",cancer
sw:FSC2_HUMAN,O14926,"fascin 2 (retinal fascin)",cancer
sw:K1CS_HUMAN,P08727,"keratin, type i cytoskeletal 19",cancer
sw:K2C7_HUMAN,P08729,"keratin, type ii cytoskeletal 7",cancer
sw:MLEN_HUMAN,P16475,"myosin light chain alkali",cancer
sw:PLSL_HUMAN,P13796,"l-plastin (lymphocyte cytosolic protein 1)",cancer
sw:TAGL_HUMAN,P37802,"transgelin (22 kda actin-binding protein)",cancer
sw:TBA4_HUMAN,P05215,"tubulin alpha-4 chain",cancer
sw:ACY1_HUMAN,Q03154,"aminoacylase-1 (ec 3.5.1.14)",cancer
sw:AMPL_HUMAN,P28838,"cytosol aminopeptidase (ec 3.4.11.1)",cancer
sw:CATD_HUMAN,P07339,"cathepsin d precursor (ec 3.4.23.5).",cancer
sw:CFAB_HUMAN,P00751,"complement factor b precursor (ec 3.4.21.47)",cancer
sw:EL3A_HUMAN,P09093,"elastase iiia precursor (ec 3.4.21.70)",cancer
sw:APE_HUMAN,P02649,"apolipoprotein e precursor (apo-e)",cancer
sw:CALX_HUMAN,P27824,"calnexin precursor (p90)",cancer
sw:CYPH_HUMAN,P05092,"peptidyl-prolyl cis-trans isomerase a (ec 5.2.1.8)",cancer
sw:TCPG_HUMAN,P49368,"t-complex protein 1, gamma subunit",cancer
sw:CBP2_HUMAN,P50454,"human. collagen-binding protein 2 precursor",cancer
tr_hum:Q96C61,Q96C61,"hypothetical 88.6 kDa protein",cancer
sw:DLDH_HUMAN,P09622,"dihydrolipoamide dehydrogenase (ec 1.8.1.4)",cancer
sw:IDHC_HUMAN,O75874,"isocitrate dehydrogenase [nadp] cytoplasmic",cancer
sw:NUAM_HUMAN,P28331,"nadh-ubiquinone oxidoreductase 75 kDa subunit",cancer
hsugp:073947–7-0,,"peptidase d",cancer
sw:ALDX_HUMAN,P14550,"alcohol dehydrogenase [nadp1] (ec 1.1.1.2)",cancer
sw:ECH1_HUMAN,Q13011,"delta3,5-delta2,4-dienoyl-coa isomerase",cancer
sw:ECHM_HUMAN,P30084,"enoyl-coa hydratase, mitochondrial precursor",cancer
sw:IPYR_HUMAN,Q15181,"inorganic pyrophosphatase (ec 3.6.1.1)",cancer
sw:TYPH_HUMAN,P19971,"thymidine phosphorylase precursor (ec 2.4.2.4)",cancer
sw:EFTU_HUMAN,P49411,"elongation factor tu, mitochondrial precursor (p43)",cancer
sw:ENOA_HUMAN,P06733,"human alpha enolase (ec 4.2.1.11)",cancer
sw:ENOL_HUMAN,Q05524,"alpha enolase, lung specific (ec 4.2.1.11)",cancer
sw:SYW_HUMAN,P23381,"tryptophanyl-trna synthetase (ec 6.1.1.2)",cancer
sw:HSBX_HUMAN,O14558,"heat-shock 20 kDa like-protein p20",cancer
sw:GBLP_HUMAN,P25388,"guanine nucleotide-binding protein beta subunit-like protein 12.3",cancer
sw:GDIR_HUMAN,P52565,"rho gdp-dissociation inhibitor 1",cancer
sw:IQG1_HUMAN,P46940,"ras gtpase-activating-like protein iqgap1",cancer
sw:PBEF_HUMAN,P43490,"pre-b cell enhancing factor precursor",cancer
sw:RAN_HUMAN,P17080,"gtp-binding nuclear protein RAN",cancer
sw:KAC_HUMAN,P01834,"ig kappa chain c region.",cancer
sw:MA32_HUMAN,Q07021,"pre-mRNA splicing factor sf2, p32 subunit",cancer
sw:ANX1_HUMAN,P04083,"annexin i (lipocortin i)",cancer
sw:LEG3_HUMAN,P17931,galectin-3,cancer
sw:S109_HUMAN,P06702,"calgranulin b (mrp-14)",cancer
sw:TPM1_HUMAN,P09493,"tropomyosin 1 alpha chain",cancer
sw:TPM4_HUMAN,P07226,"tropomyosin alpha 4 chain",cancer
sw:MLRN_HUMAN,P24844,"myosin regulatory light chain 2",cancer
humangp:CHR2-Q15092,Q15092,"transmembrane protein",cancer
sw:POR2_HUMAN,P45880,"voltage-dependent anion-selective channel protein 2",cancer
sw:RET1_HUMAN,P09455,"retinol-binding protein I",cancer
humangp:CHR20-Q9P2E9,Q9P2E9,"ribosome binding protein 1 (kiaa1398 protein)",cancer
sw:RINI_HUMAN,P13489,"placental ribonuclease inhibitor",cancer
sw:ROK_HUMAN,Q07244,"heterogeneous nuclear ribonucleo- protein k",cancer
sw:FIBG_HUMAN,P02679,"fibrinogen gamma chain precursor",cancer
sw:THRB_HUMAN,P00734,"prothrombin precursor (ec 3.4.21.5)",cancer
sw:TCTP_HUMAN,P13693,"translationally controlled tumor protein (p23)",cancer
humangp:CHR13-Q15063,Q15063,"osteoblast specific factor 2 precursor",cancer
sw:BGH3_HUMAN,Q15582,"transforming growth factor-beta induced protein",cancer
sw:KPY1-HUMAN,P14618,"pyruvate kinase,m1 (muscle) isozyme",cancer
sw:TGLC_HUMAN,P21980,"tissue transglutaminase (ec 2.3.2.13)",cancer
humangp:CHR19-Q96D15,Q96D15,"hypothetical 37.5 kDa protein",cancer
sw:DESM_HUMAN,P17661,desmin,normal
sw:CBP1_HUMAN,P15085,"carboxypeptidase a1 precursor",normal
sw:CBPB_HUMAN,P15086,"carboxypeptidase b precursor",normal
sw:CPB2_HUMAN,P48052,"carboxypeptidase a2 precursor",normal
sw:CTRB_HUMAN,P17538,"chymotrypsinogen b precursor",normal
sw:ILEU_HUMAN,P30740,"leukocyte elastase inhibitor",normal
sw:TRY1_HUMAN,P07477,"trypsin i precursor",normal
sw:TRY2_HUMAN,P07478,"trypsin ii precursor",normal
sw:CH60_HUMAN,P10809,"mitochondrial matrix protein p1 precursor",normal
sw:ENPL_HUMAN,P14625,"94 kDa glucose-regulated protein",normal
sw:ER29_HUMAN,P30040,"endoplasmic reticulum protein erp29 precursor",normal
sw:PDA2_HUMAN,Q13087,"protein disulfide isomerase a2 precursor",normal
sw:PDA3_HUMAN,P30101,"protein disulfide isomerase a3 precursor",normal
sw:ADHB_HUMAN,P00325,"alcohol dehydrogenase beta chain",normal
sw:GTO1_HUMAN,P78417,"glutathione transferase omega 1",normal
sw:OXRP_HUMAN,Q9Y4L1,"150 kDa oxygen-regulated protein precursor",normal
sw:PDX4_HUMAN,Q13162,"antioxidant enzyme aoe372",normal
sw:ULA4_HUMAN,P30039,"mawd binding protein",normal
sw:AMYC_HUMAN,P19961,"alpha-amylase 2b precursor",normal
