Accession,Entry,Name,Species,PC_NT.1.1,PC_NT.1.2,PC.DM_NT.DM.1.1,PC.DM_NT.DM.1.2,PC_NT.2.1,PC_NT.2.2,PC.DM_NT.DM.2.1,PC.DM_NT.DM.2.2
1433B_HUMAN,P31946,"14-3-3 protein beta/alpha",HUMAN,0.887,2.128,1.159,0.752,2.188,3.311,1.271,1.18
2B19_HUMAN,Q9TQE0,"HLA class II histocompatibility antigen, DRB1-9 beta chain",HUMAN,12.023,0.964,11.588,4.285,4.571,19.77,2.228,0.417
A1AT_HUMAN,P01009,Alpha-1-antitrypsin,HUMAN,4.169,3.499,8.395,0.731,1.738,7.311,3.733,5.248
ABI1_HUMAN,Q8IZP0,"Abl interactor 1",HUMAN,0.603,1.107,0.738,0.871,0.461,0.483,0.929,0.832
ACADS_HUMAN,P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",HUMAN,0.356,0.16,0.483,0.457,0.394,0.506,0.938,0.223
ACOC_HUMAN,P21399,"Cytoplasmic aconitate hydratase",HUMAN,0.603,0.565,5.346,1.148,0.356,0.832,0.581,0.35
ACS2L_HUMAN,Q9NUB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",HUMAN,0.631,0.581,38.726,0.718,0.449,0.724,0.855,0.076
ACTN1_HUMAN,P12814,Alpha-actinin-1,HUMAN,4.325,3.048,8.091,1.675,11.272,3.436,2.27,2.168
ACTN4_HUMAN,O43707,Alpha-actinin-4,HUMAN,3.802,1.722,4.875,0.54,6.427,1.786,6.918,0.413
ADH1B_HUMAN,P00325,"Alcohol dehydrogenase 1B",HUMAN,0.268,0.453,2.109,0.394,0.052,0.305,1.977,0.581
ADO_HUMAN,Q06278,"Aldehyde oxidase",HUMAN,0.128,0.466,0.855,1.148,0.655,0.171,1.202,1.019
AEBP1_HUMAN,Q8IUX7,"Adipocyte enhancer-binding protein 1",HUMAN,19.231,2.466,4.966,7.87,17.219,2.208,1.754,1.77
AGR2_HUMAN,O95994,"Anterior gradient protein 2 homolog",HUMAN,15.996,1.5,1.888,1.722,10.864,35.318,60.814,6.486
AGRIN_HUMAN,O00468,Agrin,HUMAN,1.355,1.722,1.282,2.729,5.495,1.355,2.27,1.6
AHNK2_HUMAN,Q8IVF2,"Protein AHNAK2",HUMAN,4.246,1.514,7.379,2.729,1.514,1.225,1.432,1.271
AIFM1_HUMAN,O95831,"Apoptosis-inducing factor 1, mitochondrial",HUMAN,0.592,0.223,2.228,0.38,0.904,0.57,0.752,0.637
AK1A1_HUMAN,P14550,"Alcohol dehydrogenase [NADP+]",HUMAN,0.631,0.413,3.664,0.802,0.139,1.159,1.82,0.078
AL1A1_HUMAN,P00352,"Retinal dehydrogenase 1",HUMAN,0.258,0.328,1.213,0.249,0.101,0.328,0.929,0.169
AL1L2_HUMAN,Q3SY69,"Aldehyde dehydrogenase family 1 member L2, mitochondrial",HUMAN,0.344,0.139,1.459,0.497,0.093,0.207,0.146,0.236
AL9A1_HUMAN,P49189,"4-trimethylaminobutyraldehyde dehydrogenase",HUMAN,0.667,0.35,10,0.78,0.31,0.209,0.991,0.871
ALDOA_HUMAN,P04075,"Fructose-bisphosphate aldolase A",HUMAN,2.729,2.051,9.12,1.542,6.668,2.911,2.606,3.565
AMPL_HUMAN,P28838,"Cytosol aminopeptidase",HUMAN,1.706,1.738,23.768,0.738,1.127,9.55,2.466,1.057
AMPN_HUMAN,P15144,"Aminopeptidase N",HUMAN,0.31,0.461,10.965,0.773,0.724,0.511,0.449,0.847
AMY2B_HUMAN,P19961,"Alpha-amylase 2B",HUMAN,0.177,0.061,0.192,0.118,0.291,0.614,0.565,0.221
AMYP_HUMAN,P04746,"Pancreatic alpha-amylase",HUMAN,0.04,0.037,0.221,0.067,0.142,0.453,0.55,0.116
ANXA1_HUMAN,P04083,"Annexin A1",HUMAN,3.404,2.421,17.061,1.169,7.516,6.486,3.837,3.802
ANXA2_HUMAN,P07355,"Annexin A2",HUMAN,5.598,2.089,4.487,0.603,3.597,4.446,2.911,1.644
ANXA3_HUMAN,P12429,"Annexin A3",HUMAN,1.871,3.698,4.207,0.631,3.499,2.168,3.532,0.445
