"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
BRA+10,"placental secretome",,41,22,-0.1007,-0.1271,-0.0265,-0.7551,-0.7607,-0.0056,4.8824,2.375,-2.5074,5.4167,3.6471,-1.7696,390,379.5,-10.5
PTD+10_Hx48,"A431 squamous carcinoma cells Hx48",cancer,38,78,-0.1239,-0.1509,-0.0269,-0.794,-0.7246,0.0693,4.5,2.7568,-1.7432,5.0263,3.2308,-1.7955,605.5,431,-174.5
PTD+10_Hx72,"A431 squamous carcinoma cells Hx72",cancer,43,66,-0.1366,-0.1381,-0.0015,-0.7944,-0.7261,0.0683,3.6585,2.7119,-0.9467,4.4884,3.6061,-0.8823,571,275,-296
JVC+12,"endothelial cell-derived exosomes",,64,45,-0.1346,-0.1347,-1e-04,-0.7623,-0.6767,0.0857,4.2632,2.8049,-1.4583,4.6406,3.6667,-0.974,512,283,-229
SKA+13,"cytotrophoblast-derived exosomes",,38,25,-0.1464,-0.1009,0.0456,-0.7826,-0.7446,0.038,5.0312,6.5455,1.5142,4.8947,5.1739,0.2792,422.5,494,71.5
SRS+13a_3,"pMSC 3 / 1 % O2",,193,72,-0.122,-0.1084,0.0136,-0.7512,-0.7568,-0.0056,4.322,4.5,0.178,4.7696,4.9571,0.1875,550,634.5,84.5
SRS+13a_8,"pMSC 8 / 1 % O2",,193,75,-0.122,-0.1163,0.0057,-0.7512,-0.7718,-0.0206,4.322,4.875,0.553,4.7696,5.1622,0.3925,550,717,167
LRS+14_Hy,"myoblast secretome",,52,29,-0.1507,-0.1104,0.0403,-0.7546,-0.8015,-0.047,NA,NA,NA,NA,NA,NA,430.5,707,276.5
YKK+14_soluble,"U373MG glioma cells soluble",cancer,45,22,-0.14,-0.0743,0.0658,-0.7673,-0.7934,-0.0261,2.8837,6,3.1163,3.5778,5.1429,1.5651,417,363.5,-53.5
YKK+14_exosome,"U373MG glioma cells exosome",cancer,56,40,-0.1405,-0.0887,0.0518,-0.7429,-0.781,-0.0381,2.62,5.25,2.63,3.5357,4.8947,1.359,506.5,407,-99.5
CRS+15_wt,"MDA-MB-231 breast cancer parental cells",cancer,28,25,-0.1281,-0.1263,0.0018,-0.732,-0.7854,-0.0534,2.8696,5.6522,2.7826,4.0357,5.04,1.0043,521.5,554,32.5
CRS+15_BT,"MDA-BT breast cancer bone tropic cells",cancer,20,79,-0.1398,-0.104,0.0358,-0.7114,-0.7953,-0.0839,3.4211,4.8732,1.4522,3.9,5.1392,1.2392,397,582,185
RTA+15,"LNCaP and PC3 prostate cancer cell exosomes",cancer,16,111,-0.129,-0.1416,-0.0127,-0.7666,-0.7333,0.0333,4.75,2.2843,-2.4657,4.4375,3.3273,-1.1102,564,394,-170
RSE+16,"adipose-derived stem cells",,66,50,-0.1469,-0.1204,0.0265,-0.7418,-0.7543,-0.0125,2.0635,3.375,1.3115,3.2424,4.38,1.1376,392.5,451,58.5
CGH+17_exosomes,"mouse cardiac fibroblasts exosomes",,73,71,-0.1601,-0.1205,0.0396,-0.7051,-0.7718,-0.0667,NA,NA,NA,NA,NA,NA,463,573,110
CGH+17_secretome,"mouse cardiac fibroblasts secretome",,47,75,-0.1068,-0.1023,0.0045,-0.7453,-0.8015,-0.0562,NA,NA,NA,NA,NA,NA,505,474,-31
CLY+18_secretome,"HCT116 colon cancer cells secretome",cancer,104,88,-0.1512,-0.1224,0.0289,-0.7448,-0.7732,-0.0283,2.6429,3.5139,0.871,3.7788,4.2614,0.4825,497.5,351.5,-146
DWW+18,"ovarian cancer cell exosomes",cancer,22,102,-0.1419,-0.1352,0.0067,-0.7458,-0.7465,-7e-04,NA,NA,NA,NA,NA,NA,650,654.5,4.5
FPR+18,"endothelial progenitor cells",,41,42,-0.1339,-0.1346,-8e-04,-0.7651,-0.7451,0.02,4.7949,2.75,-2.0449,4.8537,3.619,-1.2346,370,537,167
ODS+18,"AC10 ventricular cardiomyocyte extracellular vesicles",,14,60,-0.1281,-0.1329,-0.0048,-0.7998,-0.7789,0.0209,4.8333,3.7143,-1.119,5.2143,4.8983,-0.316,814,704.5,-109.5
CWG+19,"U87-MG glioma cell extracellular vesicles",cancer,980,1034,-0.1249,-0.1237,0.0013,-0.7613,-0.7603,9e-04,4.4254,4.7241,0.2987,4.9872,5.1091,0.1219,561.5,606,44.5
KAN+19_secretome,"cancer-associated fibroblasts secretome",cancer,33,26,-0.114,-0.1344,-0.0204,-0.7402,-0.7436,-0.0034,3.6897,5.7727,2.0831,4.6129,5,0.3871,630,337,-293
NJVS19_CAM,"cancer-associated myofibroblasts",cancer,96,54,-0.1377,-0.1084,0.0293,-0.7354,-0.757,-0.0215,2.7969,4.4884,1.6915,3.6176,4.9556,1.3379,375.5,438.5,63
NJVS19_NTM,"normal tissue myofibroblasts",,143,233,-0.0954,-0.1241,-0.0287,-0.8011,-0.7406,0.0605,4.2088,3.1987,-1.0101,5.1584,4.1369,-1.0215,552,364,-188
PDT+19,"mouse melanoma B16-F0 exosomes",cancer,219,988,-0.1358,-0.1339,0.002,-0.7626,-0.7475,0.0151,NA,NA,NA,NA,NA,NA,426,472.5,46.5
