"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
LHT+04,"T / N",,79,44,-0.1456,-0.117,0.0286,0.0057,-0.0208,-0.0264,3.0455,3.9062,0.8608,3.5797,4.5,0.9203,428,444,16
BLP+05,"T / N",,61,22,-0.1519,-0.1192,0.0327,0.007,0.0328,0.0258,2.614,2.3333,-0.2807,3.459,3,-0.459,408,461,53
LTZ+05,"T / N",,35,39,-0.1416,-0.1449,-0.0033,0.0529,0.0462,-0.0067,2.6875,2.3056,-0.3819,2.9375,3.0769,0.1394,333,317,-16
DTS+07,"T / N",,20,23,-0.1635,-0.1402,0.0233,0.0557,0.0536,-0.0021,2.8333,2.5455,-0.2879,3.1111,3.0909,-0.0202,342,432,90
SXS+07,"T / N",,46,21,-0.1502,-0.1327,0.0175,-0.0239,0.0346,0.0586,3.0667,2.4737,-0.593,3.6222,3.55,-0.0722,375,543,168
CHN+08,"T / N",,93,58,-0.1682,-0.1173,0.0509,0.0048,-0.0151,-0.02,2.5977,5.8889,3.2912,2.9022,5.0862,2.184,392,484.5,92.5
RLA+10,"T / N rat transitional endoplasmic reticulum",rat,130,135,-0.1758,-0.1494,0.0263,-0.0246,0.0209,0.0455,NA,NA,NA,NA,NA,NA,447.5,423,-24.5
LMG+11_nuclear,"T / N nuclear",,411,264,-0.1607,-0.1325,0.0283,-0.0093,0.0191,0.0285,2.7408,3.6135,0.8727,3.6447,4.2325,0.5877,339,419.5,80.5
LMG+11_cytoskeletal,"T / N cytoskeletal",,280,273,-0.1636,-0.1246,0.039,-0.0043,0.0316,0.0359,2.5385,3.1486,0.6102,3.5676,4.0996,0.532,391,475,84
LRL+12,"T / N",,102,161,-0.1492,-0.1173,0.0319,0.0235,0.0324,0.0089,2.7841,3.4722,0.6881,3.3163,4.1312,0.8149,397,390,-7
KOK+13,"T / N",,53,38,-0.1493,-0.1308,0.0185,0.0144,0.0664,0.052,2.7755,2.4,-0.3755,3.56,4.0556,0.4956,349,403,54
MBK+13,"T / N",,192,280,-0.1562,-0.1396,0.0165,0.0116,0.0205,0.0089,2.3242,3.251,0.9268,3.0052,3.9603,0.9551,447,448,1
XWS+14,"T / N",,135,504,-0.1132,-0.1399,-0.0267,0.0128,0.0164,0.0036,5.2358,2.8983,-2.3375,5.15,4.0066,-1.1434,564,481.5,-82.5
BSG15,"T / N EGF transgenic mice",mouse,34,71,-0.1613,-0.131,0.0303,0.0135,-0.0141,-0.0276,NA,2,NA,NA,4,NA,332.5,436,103.5
RPM+15,"T / N",,131,479,-0.1593,-0.1195,0.0398,0.0017,0.0142,0.0126,2.0583,3.3303,1.2719,2.9231,4.1221,1.199,412,484,72
NBM+16_G1,"T / N G1",,42,80,-0.1453,-0.1276,0.0176,0.0188,0.0219,0.0031,2.7838,3.2817,0.4979,3.2619,4.4375,1.1756,443,386.5,-56.5
NBM+16_G2,"T / N G2",,81,82,-0.1574,-0.1257,0.0317,-0.0021,0.0104,0.0124,2.4583,3.36,0.9017,3.15,4.6098,1.4598,430,584.5,154.5
NBM+16_G3,"T / N G3",,237,556,-0.1608,-0.1321,0.0287,0.0012,0.0143,0.0131,2.1918,3.2642,1.0724,2.9364,4.2857,1.3493,412,445,33
NMB+16,"T / N",,121,426,-0.1496,-0.1339,0.0157,0.0198,0.0091,-0.0107,2.2072,3.294,1.0868,2.8417,4.1939,1.3522,380,545.5,165.5
QXC+16_T1,"T / N T1",,198,132,-0.149,-0.1288,0.0201,-0.0096,0.0329,0.0424,3.7868,3.6308,-0.156,3.7162,4,0.2838,436,330.5,-105.5
QXC+16_T2,"T / N T2",,193,172,-0.1444,-0.1379,0.0065,-0.0092,0.031,0.0403,3.1513,5.0112,1.86,3.75,4.5464,0.7964,452,369.5,-82.5
QXC+16_T3,"T / N T3",,202,185,-0.1475,-0.1207,0.0268,-0.0076,0.0099,0.0175,3.4878,4.6211,1.1332,3.6618,4.6667,1.0049,427,373,-54
GJZ+17,"T / N",,26,25,-0.1261,-0.1169,0.0091,-0.0266,8e-04,0.0274,7.6923,6.1739,-1.5184,4.5769,5.04,0.4631,493,564,71
GWS+17,"T / N",,145,191,-0.1651,-0.1422,0.0229,-0.0021,0.0175,0.0196,2.3231,3.2378,0.9147,3.0584,3.8544,0.796,412,383,-29
QPP+17,"T / N",,121,72,-0.1315,-0.1314,1e-04,-0.0129,0.0039,0.0168,5.4035,5.303,-0.1005,4.9835,5.0704,0.087,463,406.5,-56.5
WLL+17_small,"T / N small",,48,31,-0.1369,-0.1652,-0.0283,0.0307,0.0527,0.022,4.0244,4.8276,0.8032,4.1064,5.1,0.9936,375,235,-140
