"dataset","description","tags","n1","n2","Zc.down","Zc.up","Zc.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
AMG+08,"T / periphery",,56,128,-0.1072,-0.1173,-0.01,-0.7676,-0.7621,0.0055,575.5,702,126.5,110.3211,110.7516,0.4305
CIR+10,"LCM T / N",luminalA,59,62,-0.1103,-0.1537,-0.0433,-0.7618,-0.7521,0.0097,456,448,-8,110.7153,111.9433,1.228
SRG+10,"invasive carcinoma / N",,56,61,-0.14,-0.1122,0.0278,-0.7627,-0.7294,0.0333,382.5,249,-133.5,111.3478,111.0919,-0.2558
HTP+11,"microvessels IDC / nonmalignant",,40,86,-0.1151,-0.1411,-0.026,-0.7649,-0.7429,0.022,468.5,423,-45.5,109.7893,111.987,2.1977
GTM+12_IDC.benign,"IDC / benign",,27,166,-0.1354,-0.1528,-0.0173,-0.7657,-0.7039,0.0618,368,256,-112,111.7502,111.4273,-0.3228
GTM+12_IDC,"IDC / adjacent N",,71,122,-0.1508,-0.1528,-0.002,-0.7704,-0.6974,0.073,359,294.5,-64.5,111.4562,111.5124,0.0563
LLL+13,"TNBC tumor / paraneoplastic",basal,128,80,-0.1334,-0.1369,-0.0034,-0.7489,-0.7582,-0.0093,407,419,12,111.1394,112.1205,0.9811
SRS+13_DCIS,"DCIS / matched N",,56,50,-0.1285,-0.1296,-0.0011,-0.7557,-0.7221,0.0336,399,372,-27,110.671,110.1339,-0.5371
SRS+13_IC,"IDC / matched N",,73,71,-0.1245,-0.1126,0.0119,-0.7528,-0.7086,0.0442,466,294,-172,110.3669,110.902,0.5351
GSB+14,"T / distant N",,88,108,-0.1398,-0.1418,-0.0021,-0.7771,-0.7424,0.0348,508,321,-187,111.0144,112.5108,1.4964
PPH+14,"multiple subtypes T / N",,54,40,-0.1339,-0.1346,-7e-04,-0.7319,-0.7554,-0.0235,606.5,352.5,-254,111.9939,111.266,-0.7279
CVJ+15,"TNBC T / N",basal,92,124,-0.1317,-0.1427,-0.0111,-0.7559,-0.7527,0.0032,382.5,327,-55.5,111.5272,112.7433,1.2161
PGT+16_ES,"early stage T / N",,21,38,-0.1346,-0.1452,-0.0106,-0.7642,-0.7371,0.0271,463,390.5,-72.5,110.628,111.5867,0.9587
PGT+16_LS,"late stage T / N",,24,42,-0.1331,-0.146,-0.0129,-0.7634,-0.743,0.0204,463.5,366.5,-97,110.8129,111.5801,0.7672
PBR+16_tumor,"FFPE T / adjacent N",,406,563,-0.141,-0.1409,2e-04,-0.7308,-0.7549,-0.0241,733,218,-515,112.08,111.8302,-0.2498
BST+17_epithelium,"tumor epithelium / N",,234,245,-0.1168,-0.1452,-0.0284,-0.7599,-0.7571,0.0028,456.5,466,9.5,110.671,111.7864,1.1154
TZD+18_all,"T / adjacent N all",,268,1836,-0.1036,-0.1422,-0.0386,-0.7544,-0.7563,-0.0019,427.5,468,40.5,110.6758,112.1388,1.463
TZD+18_basal,"T / adjacent N basal",,291,1058,-0.104,-0.1445,-0.0405,-0.7513,-0.7506,8e-04,417,514,97,110.8474,112.0857,1.2383
GCS+19_PTxNCT,"T / contralateral N",,162,235,-0.1386,-0.1478,-0.0092,-0.7722,-0.7317,0.0405,463.5,482,18.5,111.3131,111.9577,0.6446
GCS+19_PTxANT,"T / adjacent N",,159,246,-0.1427,-0.1476,-0.005,-0.7714,-0.7317,0.0396,452,496,44,111.1373,111.9796,0.8423
LLC+19,"T / adjacent N",,93,48,-0.0968,-0.1187,-0.022,-0.7453,-0.7312,0.0141,470,371,-99,110.2664,112.7799,2.5134
LLF+20_I.II,"TNBC grade I.II T / adjacent N",,556,309,-0.1208,-0.136,-0.0151,-0.7696,-0.7789,-0.0093,406,356,-50,111.3435,111.7919,0.4484
LLF+20_III,"TNBC grade III T / adjacent N",,667,359,-0.1212,-0.1453,-0.0241,-0.7638,-0.7469,0.0168,425,332,-93,111.0333,112.2782,1.2449
