"Gene.Symbol","Protein.Name","IPI.Accession","UniProt.Accession","Overall.Fold.Change","P.value"
HPX,"Hemopexin",IPI00022488,P02790,unique (SPH),5.49E-08
CFB,"Complement factor B",IPI00019591,Q53F89,unique (SPH),5.17E-06
SNRPD2,"Small nuclear ribonucleoprotein D2 polypeptide 16.5kDa",IPI00017963,P62316,unique (SPH),1.69E-03
A1BG,"Alpha-1-B glycoprotein",IPI00022895,P04217,unique (SPH),1.69E-03
AIMP1,"Aminoacyl tRNA synthetase complex-interacting multifunctional protein 1",IPI00006252,Q12904,unique (SPH),1.73E-03
PDLIM3,"PDZ and LIM domain 3",IPI00004471,Q53GG5,unique (SPH),8.76E-03
C4A,"Complement component 4A (Rodgers blood group)",IPI00032258,P0C0L4,unique (SPH),9.96E-07
EPB41L2,"Erythrocyte membrane protein band 4.1-like 2",IPI00015973,O43491,unique (SPH),4.71E-06
TTR,"Transthyretin",IPI00022432,P02766,unique (SPH),3.26E-04
PARP1,"Poly (ADP-ribose) polymerase 1",IPI00449049,P09874,unique (SPH),9.27E-04
CBX5,"Chromobox homolog 5",IPI00024662,P45973,unique (SPH),1.49E-02
ITIH4,"Inter-alpha-trypsin inhibitor heavy chain family, member 4",IPI00218192,Q14624,unique (SPH),1.49E-02
MGST3,"Microsomal glutathione S-transferase 3",IPI00024266,O14880,unique (SPH),2.63E-02
PYCARD,"PYD and CARD domain containing",IPI00001699,Q9ULZ3,unique (SPH),2.63E-02
ITIH2,"Inter-alpha-trypsin inhibitor heavy chain 2",IPI00305461,P19823,unique (SPH),2.74E-02
CSRP2,"Cysteine and glycine-rich protein 2",IPI00002824,Q16527,unique (SPH),9.21E-03
C4B,"Complement component 4B (Chido blood group)",IPI00418163,Q6U2F8,unique (SPH),1.50E-02
RAP1A,"RAP1A, member of RAS oncogene family",IPI00019345,P62834,unique (SPH),1.62E-02
FBN1,"Fibrillin 1",IPI00328113,P35555,unique (SPH),4.56E-06
CFH,"Complement factor H",IPI00029739,P08603,unique (SPH),1.32E-05
HP,"Haptoglobin",IPI00641737,P00738,unique (SPH),3.82E-04
AP2B1,"Adaptor-related protein complex 2, beta 1 subunit",IPI00220991,P63010,unique (SPH),4.61E-03
PALLD,"Palladin, cytoskeletal associated protein",IPI00292009,Q8WX93,unique (SPH),8.02E-03
HNRNPUL1,"Heterogeneous nuclear ribonucleoprotein U-like 1",IPI00013070,Q9BUJ2,unique (SPH),8.07E-03
AGT,"Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",IPI00032220,P01019,unique (SPH),8.11E-03
CFHR1,"Complement factor H-related 1",IPI00011264,Q03591,unique (SPH),8.16E-03
APOA4,"Apolipoprotein A-IV",IPI00304273,P06727,unique (SPH),8.20E-03
VCAN,"Versican",IPI00009802,P13611,unique (SPH),1.04E-02
LPP,"LIM domain containing preferred translocation partner in lipoma",IPI00023704,Q93052,unique (SPH),1.46E-02
LCN15,"Lipocalin 15",IPI00399139,Q6UWW0,unique (SPH),1.56E-02
PREP,"Prolyl endopeptidase",IPI00008164,P48147,unique (SPH),2.50E-02
SAMHD1,"SAM domain and HD domain 1",IPI00294739,Q9Y3Z3,unique (SPH),2.50E-02
SF3B1,"Splicing factor 3b, subunit 1, 155kDa",IPI00026089,O75533,unique (SPH),2.51E-02
PALLD,"Palladin, cytoskeletal associated protein",IPI00383645,Q7L8P5,unique (SPH),2.51E-02
CLEC3B,"C-type lectin domain family 3, member B",IPI00009028,P05452,unique (SPH),2.77E-02
GTF2I,"General transcription factor IIi",IPI00054042,P78347,unique (SPH),4.50E-02
SLC25A13,"Solute carrier family 25 (aspartate/glutamate carrier), member 13",IPI00007084,Q9UJS0,unique (SPH),4.50E-02
CUL4B,"Cullin 4B",IPI00179057,Q13620,unique (SPH),4.50E-02
ANP32B,"Acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",IPI00007423,Q92688,unique (SPH),4.50E-02
GSTO1,"Glutathione S-transferase omega 1",IPI00019755,P78417,unique (SPH),4.53E-02
CORO7,"Coronin 7",IPI00027996,P57737,unique (SPH),4.53E-02
SSRP1,"Structure specific recognition protein 1",IPI00005154,Q08945,unique (SPH),4.69E-02
EMD,"Emerin",IPI00032003,P50402,unique (SPH),4.91E-02
C3,"Complement component 3",IPI00164623,P01024,54.26,4.31E-24
AARS,"Alanyl-tRNA synthetase",IPI00027442,P49588,24.11,4.02E-06
IGKV4-1,"Immunoglobulin kappa variable 4-1",IPI00026197,P06312,20.74,2.31E-05
RPL4,"Ribosomal protein L4",IPI00003918,P36578,19.92,3.54E-05
IGHG2,"Immunoglobulin heavy constant gamma 2 (G2m marker)",IPI00399007,Q6N093,18.14,3.02E-08
IGHM,"Immunoglobulin heavy constant mu",IPI00168728,Q8NF17,17.93,8.36E-25
SERPINF1,"Serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1",IPI00006114,P36955,13.46,1.04E-03
SET,"SET nuclear oncogene",IPI00072377,Q01105,11.69,2.68E-03
TF,"Transferrin",IPI00022463,P02787,10.97,1.88E-41
PAICS,"Phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase",IPI00217223,P22234,10.91,4.07E-03
DPYSL3,"Dihydropyrimidinase-like 3",IPI00029111,Q8IXW6,10.55,1.82E-08
RPL10A,"Ribosomal protein L10a",IPI00412579,P62906,9.94,6.85E-03
HP,"Haptoglobin",IPI00431645,Q6PEJ8,9.85,1.83E-09
NANS,"N-acetylneuraminic acid synthase",IPI00147874,Q9NR45,8.70,4.65E-04
HIST1H2APS4,"Histone cluster 1, H2a, pseudogene 4",IPI00014165,Q92646,8.16,4.09E-05
CLCA1,"Chloride channel accessory 1",IPI00014625,A8K7I4,8.01,1.95E-02
SERPINA3,"Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3",IPI00550991,P01011,7.92,2.14E-07
NUDT5,"Nudix (nucleoside diphosphate linked moiety X)-type motif 5",IPI00296913,Q9UKK9,7.88,2.09E-02
RAC1,"Ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)",IPI00010271,P63000,7.87,1.10E-03
SH3BGRL,"SH3 domain binding glutamic acid-rich protein like",IPI00025318,O75368,7.83,2.14E-02
CPSF6,"Cleavage and polyadenylation specific factor 6, 68kDa",IPI00012998,Q16630,7.74,2.24E-02
KIF5B,"Kinesin family member 5B",IPI00012837,P33176,7.52,1.58E-03
HRG,"Histidine-rich glycoprotein",IPI00022371,P04196,7.51,1.60E-03
CNN3,"Calponin 3, acidic",IPI00216682,Q15417,7.35,1.86E-03
VPS35,"Vacuolar protein sorting 35 homolog (S. cerevisiae)",IPI00018931,Q96QK1,7.02,3.35E-02
IGHA1,"Immunoglobulin heavy constant alpha 1",IPI00166866,NA,7.01,3.38E-02
HNRNPUL2,"Heterogeneous nuclear ribonucleoprotein U-like 2",IPI00456887,Q1KMD3,6.92,2.91E-03
HNRNPA0,"Heterogeneous nuclear ribonucleoprotein A0",IPI00011913,Q13151,6.90,2.99E-03
IGL@,"Immunoglobulin lambda locus",IPI00154742,P0CG05,6.84,4.94E-13
THY1,"Thy-1 cell surface antigen",IPI00022892,P04216,6.33,5.30E-03
DDX17,"DEAD (Asp-Glu-Ala-Asp) box helicase 17",IPI00023785,NA,5.89,1.23E-03
PCNA,"Proliferating cell nuclear antigen",IPI00021700,P12004,5.87,8.51E-03
KCTD12,"Potassium channel tetramerisation domain containing 12",IPI00060715,Q96CX2,5.83,8.81E-03
SERPINA1,"Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1",IPI00305457,C5J0G2,5.61,2.51E-09
PHPT1,"Phosphohistidine phosphatase 1",IPI00299977,Q9NRX4,5.48,1.28E-02
CALD1,"Caldesmon 1",IPI00014516,Q05682,5.37,4.46E-08
MTHFD1,"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase",IPI00218342,P11586,5.24,3.24E-03
TLN2,"Talin 2",IPI00219299,Q9Y4G6,5.19,7.52E-04
ALB,"Albumin",IPI00216773,Q8IUK7,5.04,1.93E-10
USP7,"Ubiquitin specific peptidase 7 (herpes virus-associated)",IPI00003965,Q93009,5.01,2.07E-02
MTAP,"Methylthioadenosine phosphorylase",IPI00011876,Q6FHP1,4.98,2.13E-02
COTL1,"Coactosin-like 1 (Dictyostelium)",IPI00017704,Q14019,4.97,2.15E-02
LRRC59,"Leucine rich repeat containing 59",IPI00396321,Q96AG4,4.96,2.17E-02
GLOD4,"Glyoxalase domain containing 4",IPI00007102,A8K8F0,4.92,2.25E-02
CBX3,"Chromobox homolog 3",IPI00297579,Q13185,4.91,1.27E-03
RPL21,"Ribosomal protein L21",IPI00247583,P46778,4.91,2.27E-02
TPP1,"Tripeptidyl peptidase I",IPI00298237,D3DQU2,4.86,2.38E-02
APOA1,"Apolipoprotein A-I",IPI00021841,P02647,4.80,1.71E-12
IGHM,"Immunoglobulin heavy constant mu",IPI00477090,NA,4.78,4.42E-04
IGKV3-20,"Immunoglobulin kappa variable 3-20",IPI00030205,P18135,4.51,8.09E-04
USP5,"Ubiquitin specific peptidase 5 (isopeptidase T)",IPI00024664,P45974,4.50,3.47E-02
NIT2,"Nitrilase family, member 2",IPI00549467,Q9NQR4,4.49,3.52E-02
PDLIM1,"PDZ and LIM domain 1",IPI00010414,O00151,4.25,1.39E-02
MLEC,"Malectin",IPI00029046,Q14165,4.24,1.40E-02
HSPA4,"Heat shock 70kDa protein 4",IPI00002966,P34932,4.24,4.65E-03
PGM1,"Phosphoglucomutase 1",IPI00217872,P36871,4.24,1.41E-02
PPA1,"Pyrophosphatase (inorganic) 1",IPI00015018,Q15181,4.20,2.00E-04
ALB,"Albumin",IPI00022434,B4DPP6,4.11,6.61E-129
TLN1,"Talin 1",IPI00298994,Q9Y490,3.99,2.34E-24
APCS,"Amyloid P component, serum",IPI00022391,P02743,3.92,8.41E-03
F7,"Coagulation factor VII (serum prothrombin conversion accelerator)",IPI00382606,NA,3.88,1.23E-11
HSPH1,"Heat shock 105kDa/110kDa protein 1",IPI00218993,Q92598,3.75,1.16E-02
SRSF7,"Serine/arginine-rich splicing factor 7",IPI00003377,Q16629,3.64,3.37E-02
