Protein,UniProt,Norm-CH
"Endoplasmatic reticulum aminopeptidase 1",Q9NZ08,-1.71
"Heat shock protein HSP 90-beta",P08238,1.49
Gelsolin,P06396,1.15
"Elongation factor G mitochondrial",Q96RP9,-1.58
"Mitochondrial inner membrane protein",Q16891,-1.37
"Protein-glutamine gamma-glutamyltransferase 2",P21980,1.79
Moesin,P26038,1.37
"78 kDa glucose-regulated protein",P11021,-1.02
"Ubiquitin-like modifier-activating enzyme ATG7",O95352,-1.26
"Heterogeneous nuclear ribonucleoprotein M",P52272,1.09
"Protein disulfide-isomerase A4",P13667,-1.27
"Propionyl-CoA carboxylase alpha chain mitochondrial",P05165,-1.35
"Sec1 family domain-containing protein 1",Q8WVM8,-1.27
"X-ray repair cross-complementing protein 6",P12956,-1.32
"Protein arginine N-methyltransferase 5",O14744,1.06
Lamin-B1,P20700,1.39
Lamin-B2,Q03252,1.29
"T-complex protein 1 subunit gamma",P49368,1.47
"Acyl-CoA dehydrogenase family member 9 mitochondrial",Q9H845,-1.19
"Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)",Q3LXA3,-1.18
"Prolyl 4-hydroxylase subunit alpha-1",P13674,2.38
"60 kDa heat shock protein mitochondrial",P10809,1.61
"Dihydropyrimidinase-related protein 3",Q14195,1.19
"Pyruvate kinase isozymes M1/M2",P14618,1.8
Catalase,P04040,-1.15
"Protein disulfide-isomerase A3",P30101,-1.46
"Glucose-6-phosphate isomerase",P06744,1.67
"Dihydrolipoyl dehydrogenase mitochondrial",P09622,-1.69
"Tubulin beta chain",P07437,-1.16
"V-type proton ATPase subunit B brain isoform",P21281,-1.44
"Tubulin alpha-1C chain",Q9BQE3,2.19
"ATP synthase subunit beta mitochondrial",P06576,-1.09
"Polypyrimidine tract-binding protein 1",P26599,1.41
"Cytosol aminopeptidase",P28838,1.25
"Glutamate dehydrogenase 1 mitochondrial",P00367,1.18
"Protein disulfide-isomerase A6",Q15084,-1.12
"RuvB-like 2",Q9Y230,-1.06
"Sulfide:quinone oxidoreductase mitochondrial",Q9Y6N5,1.33
"Spliceosome RNA helicase DDX39B",Q13838,-1.34
"Sorting nexin-6",Q9UNH7,-1.3
"Cartilage-associated protein",O75718,-1.55
"Mitochondrial-processing peptidase subunit beta",O75439,-1.01
"Actin-related protein 3",P61158,-1.18
Alpha-enolase,P06733,1.64
"Splicing factor 3B subunit 4",Q15427,1.42
"Actin-like protein 6A",O96019,-1.47
Perilipin-3,O60664,1.9
Vimentin,P08670,-3.29
"Cysteine desulfurase mitochondrial",Q9Y697,-1.94
"Fumarate hydratase mitochondrial",P07954,-1.9
"Elongation factor Tu mitochondrial",P49411,1.1
"Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial",Q9P2R7,-1.27
"Phosphoglycerate kinase 1",P00558,1.67
"Actin cytoplasmic 1",P60709,2.55
"Actin-related protein 2",P61160,1.08
"Fructose-bisphosphate aldolase A",P04075,2.09
"Poly(rC)-binding protein 1",Q15365,1.44
"Armadillo repeat-containing protein 1",Q9NVT9,1.61
"Fructose-1- 6-bisphosphatase 1",P09467,1.6
"Heterogeneous nuclear ribonucleoproteins C1/C2",P07910,-1.63
"Glyoxylate reductase/hydroxypyruvate reductase",Q9UBQ7,-1.14
"Glyceraldehyde-3-phosphate dehydrogenase",P04406,1.39
Sideroflexin-3,Q9BWM7,1.4
"Serine/arginine-rich splicing factor 1",Q07955,-1.48
"Heterogeneous nuclear ribonucleoproteins A2/B1",P22626,1.74
"L-lactate dehydrogenase A chain",P00338,1.49
"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2",P62879,-1.7
"Apolipoprotein E",P02649,-1.66
"Alpha-soluble NSF attachment protein",P54920,-1.22
"Peptidyl-prolyl cis-trans isomerase E",Q9UNP9,-1.71
"ELAV-like protein 1",Q15717,-1.38
"Voltage-dependent anion-selective channel protein 2",P45880,-1.03
"F-actin-capping protein subunit beta",P47756,-1.58
"3-hydroxyisobutyrate dehydrogenase mitochondrial",P31937,-1.27
"Translin-associated protein X",Q99598,-1.82
"Uridine phosphorylase 1",Q16831,1.57
"Translation initiation factor eIF-2B subunit alpha",Q14232,-1.11
"Palmitoyl-protein thioesterase 1",P50897,-3.25
"Actin-related protein 2/3 complex subunit 2",O15144,-1.12
"Cathepsin B",P07858,1.53
"ATP synthase subunit alpha mitochondrial",P25705,-1.32
"Cathepsin D",P07339,-3.57
"Osteoclast-stimulating factor 1",Q92882,1.3
"Tumor protein D54",O43399,-1.48
"Endoplasmic reticulum resident protein 29",P30040,-1.86
"Phosphoglycerate mutase 1",P18669,1.64
"Beta-hexosaminidase subunit beta",P07686,-1.5
"Adenylate kinase 2 mitochondrial",P54819,-1.21
"Pre-mRNA-splicing factor SPF27",O75934,-1.53
"Triosephosphate isomerase",P60174,1.5
"Ubiquitin-conjugating enzyme E2 K",P61086,-1.41
"Histone H4",P62805,2.66
"Proteasome subunit beta type-2",P49721,-1.04
Transgelin-2,P37802,-1.2
"Superoxide dismutase [Mn] mitochondrial",P04179,-1.15
"ATP synthase subunit O mitochondrial",P48047,-1.11
