Symbol,Entry,"Entry name","Fold change","Only in"
RFC5,P40937,RFC5_HUMAN,NA,CRC
S100A11,P31949,S10AB_HUMAN,NA,CRC
EIF2S1,P05198,IF2A_HUMAN,NA,CRC
MNDA,P41218,MNDA_HUMAN,NA,CRC
ARPC4,P59998,ARPC4_HUMAN,NA,CRC
PTGES3,Q15185,TEBP_HUMAN,NA,CRC
AEBP1,Q8IUX7,AEBP1_HUMAN,NA,CRC
PABPC4,Q13310,PABP4_HUMAN,NA,CRC
PADI4,Q9UM07,PADI4_HUMAN,NA,CRC
SAMHD1,Q9Y3Z3,SAMH1_HUMAN,NA,CRC
IARS,P41252,SYIC_HUMAN,NA,CRC
WDR61,Q9GZS3,WDR61_HUMAN,NA,CRC
PSMA2,P25787,PSA2_HUMAN,NA,CRC
TNPO1,Q92973,TNPO1_HUMAN,NA,CRC
MAPK1,P28482,MK01_HUMAN,NA,CRC
SRPRB,Q9Y5M8,SRPRB_HUMAN,NA,CRC
LRP1,Q07954,LRP1_HUMAN,NA,CRC
FARSB,Q9NSD9,SYFB_HUMAN,NA,CRC
TSFM,P43897,EFTS_HUMAN,NA,CRC
EXOSC7,Q15024,EXOS7_HUMAN,NA,CRC
RARS,P54136,SYRC_HUMAN,NA,CRC
MUC1,P15941,MUC1_HUMAN,NA,CRC
SH3BGRL3,Q9H299,SH3L3_HUMAN,NA,CRC
RPS16,P62249,RS16_HUMAN,NA,CRC
CDK1,P06493,CDK1_HUMAN,NA,CRC
IFI16,Q16666,IF16_HUMAN,NA,CRC
S100A9,P06702,S10A9_HUMAN,15.5,NA
SND1,Q7KZF4,SND1_HUMAN,13,NA
KHSRP,Q92945,FUBP2_HUMAN,9.3,NA
EEF1A1,P68104,EF1A1_HUMAN,9,NA
BANF1,O75531,BAF_HUMAN,7.9,NA
SEC13,P55735,SEC13_HUMAN,7.8,NA
MPO,P05164,PERM_HUMAN,7.3,NA
RPL5,P46777,RL5_HUMAN,6.6,NA
RPN2,P04844,RPN2_HUMAN,6.2,NA
EIF2S3,P41091,IF2G_HUMAN,5.7,NA
PARVA,Q9NVD7,PARVA_HUMAN,5.6,NA
ARPC1B,O15143,ARC1B_HUMAN,5.4,NA
LEPRE1,Q32P28,P3H1_HUMAN,5.4,NA
NAP1L1,P55209,NP1L1_HUMAN,5.1,NA
TGM2,P21980,TGM2_HUMAN,5,NA
PSMB3,P49720,PSB3_HUMAN,4.8,NA
NUP210,Q8TEM1,PO210_HUMAN,4.6,NA
NCL,P19338,NUCL_HUMAN,4.6,NA
CCAR1,Q8IX12,CCAR1_HUMAN,4.5,NA
RPS7,P62081,RS7_HUMAN,4.3,NA
MYH9,P35579,MYH9_HUMAN,4.2,NA
CSTF3,Q12996,CSTF3_HUMAN,4,NA
PKM,P14618,KPYM_HUMAN,3.9,NA
RPL6,Q02878,RL6_HUMAN,3.6,NA
MSN,P26038,MOES_HUMAN,3.5,NA
MVP,Q14764,MVP_HUMAN,3.4,NA
EZR,P15311,EZRI_HUMAN,3.2,NA
TOP1,P11387,TOP1_HUMAN,3,NA
MYH11,P35749,MYH11_HUMAN,3,NA
PTRF,Q6NZI2,PTRF_HUMAN,NA,ADE
YLPM1,P49750,YLPM1_HUMAN,NA,ADE
LEMD2,Q8NC56,LEMD2_HUMAN,NA,ADE
CSTB,P04080,CYTB_HUMAN,NA,ADE
AHCTF1,Q8WYP5,ELYS_HUMAN,NA,ADE
