"Gene name","Uniprot ID","No. Reports",Change
ENO1,P06733,5,UP
ANXA5,P08758,5,UP
GAPDH,P04406,5,UP
PKM2,P14618,5,UP
ANXA4,P09525,4,UP
GARS,P41250,4,UP
RRBP1,Q9P2E9,4,UP
KRT8,P05787,3,UP
SYNCRIP,O60506,3,UP
S100A9,P06702,3,UP
ANXA3,P12429,3,UP
CAPG,P40121,3,UP
HNRNPF,P52597,3,UP
PPA1,Q15181,3,UP
NME1,P15531,3,UP
PSME3,P61289,3,UP
AHCY,P23526,3,UP
TPT1,P13693,3,UP
HSPB1,P04792,3,UP
RPSA,P08865,3,UP
FGB,P02675,3,UP
PRDX1,Q06830,3,UP
SLC25A5,P05141,3,UP
LMNB1,P20700,3,UP
TPM2,P07951,3,UP
TRAP1,Q12931,3,UP
ALDOA,P04075,2,UP
HSPD1,P10809,2,UP
FGG,P02679,2,UP
ARHGDIA,P52565,2,UP
GSTP1,P09211,2,UP
SERPINB1,P30740,2,UP
THBS1,P07996,2,UP
HMGB1,P09429,2,UP
ALDH1B1,P30837,2,UP
DYNC1H1,Q14204,2,UP
YWHAZ,P63104,2,UP
ACTB,P60709,2,UP
ACTG2,P63267,2,UP
ANXA1,P04083,2,UP
HSP90B1,P14625,2,UP
EZR,P15311,2,UP
FTL,P02792,2,UP
HSPA9,P38646,2,UP
EIF4A3,P38919,2,UP
MAPRE1,Q15691,2,UP
NNMT,P40261,2,UP
PDXK,O00764,2,UP
HSP90AB1,Q6PK50,2,UP
SF3B3,Q15393,2,UP
DARS,P14868,2,UP
TAL1,P17542,2,UP
TUBB1,Q9H4B7,2,UP
TST,Q16762,2,UP
TKT,P29401,2,UP
IFT74,Q96LB3,2,UP
VIM,P08670,6,DOWN
SERPINA1,P01009,5,DOWN
VIL1,P09327,4,DOWN
SELENBP1,Q13228,4,DOWN
ALB,P02768,4,DOWN
EEF2,P13639,4,DOWN
CNN1,P51911,3,DOWN
CA1,P00915,3,DOWN
SDHA,P31040,3,DOWN
GSN,P06396,3,DOWN
HP,P00738,3,DOWN
TF,P02787,3,DOWN
CKB,P12277,3,DOWN
MYL6,P60660,3,DOWN
APOA1,P02647,3,DOWN
CTSD,P07339,3,DOWN
MYL9,P24844,3,DOWN
PDIA3,P30101,3,DOWN
UGDH,O60701,3,DOWN
ALDH1A1,P00352,2,DOWN
AKR1B1,P15121,2,DOWN
AMY2B,P19961,2,DOWN
AGT,P01019,2,DOWN
APOH,P02749,2,DOWN
ATP5B,P06576,2,DOWN
CA2,P00918,2,DOWN
CALR,P27797,2,DOWN
CTSS,P25774,2,DOWN
CTSZ,Q9UBR2,2,DOWN
CORO1C,Q9ULV4,2,DOWN
ECH1,Q13011,2,DOWN
FHL1,Q13642,2,DOWN
FLNA,P21333,2,DOWN
PCK2,Q16822,2,DOWN
PDIA6,Q15084,2,DOWN
PEBP1,P30086,2,DOWN
DKFZp686M08189,Q6MZX9,2,DOWN
HNRNPA2B1,P22626,2,DOWN
SCGN,O76038,2,DOWN
SERPINB6,P35237,2,DOWN
UGP2,Q16851,2,DOWN
PITPNA,Q00169,2,DOWN
HLA-A,P01891,2,DOWN
