"Accession Number","Protein name","CS vs. NS",Entry
gi|14250401,"Actin, beta",1.3,P60709
gi|4504349,"Hemoglobin, beta",-2.1,D9YZU5
gi|119587704,Transgelin,1.5,119587704
gi|12667788,"Myosin-9,heavy chain 9, non-muscle",1.6,P35579
gi|148728589,Desmin,1.4,A5Z217
gi|167887751,Vimentin,1.3,B0YJC4
gi|109096492,"Similar to tubulin alpha-2 chain (alpha-tublin 2)",1.3,109096492
gi|194097350,"Actinin, alpha 1",1.7,P12814
gi|13650074,"Hemoglobin, alpha 2; hemoglobin, alpha 1",-2.1,13650074
gi|119575932,"Histone cluster 1,H4a",-1.3,119575932
gi|109658664,"Fibronectin 1",2.5,P02751
gi|166343765,"Periostin, osteoblast specific factor",2.2,Q15063
gi|31645,"Glyceraldehyde-3-phosphate dehydrogenase",-1.4,P04406
gi|10800138,"Histone cluster 1, H2bd",-1.4,P58876
gi|24657579,Vinculin,1.3,P18206
gi|153946395,"Tenascin C",2.5,P24821
gi|119625338,"Fibrinogen beta chain",2.4,119625338
gi|119617057,"Keratin 8",-1.3,119617057
gi|11761629,"Fibrinogen alpha chain",1.9,P02671
gi|260099723,"Lactate dehydrogenase A",1.5,P00338
gi|30354619,"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",1.3,P63104
gi|119578757,"Talin 1",1.3,119578757
gi|119625314,"Fibrinogen gamma chain",2,119625314
gi|119577213,"Actinin, alpha 4",1.3,119577213
gi|297663020,"Predicted: transgelin-2-like isoform 2",1.5,297663020
gi|119597759,"Fibrillin 1",1.3,119597759
gi|28940,"Unnamed protein product",-1.3,P06576
gi|119604232,"Caldesmon 1",1.4,119604232
gi|119617856,Decorin,-1.3,119617856
gi|18088719,"TUBULIN, beta",1.6,P07437
gi|114656687,"Protein disulfide isomerase family A, member 3",-1.3,114656687
gi|12054070,"Immunoglobulin heavy constant alpha 1",-1.3,12054070
gi|119582950,"Annexin A1",1.4,119582950
gi|126035028,"Histone cluster 1, H1e",-1.6,A3R0T7
gi|149673887,"Immunoglobulin light chain",-1.3,149673887
gi|110350939,"Serpin peptidase inhibitor, clade A, member 1",-1.3,P01009
gi|15010550,"Heat shock protein 90kda beta (Grp94),member1",-2.3,P14625
gi|114601828,"Transforming growth factor, beta-induced, 68 kDa",2.4,114601828
gi|110349772,"Collagen, type I, alpha 1",-2.1,P02452
gi|119580852,"X-ray repair complementing defective repair in Chinese hamster cells 6",-1.6,P12956
gi|194380046,Osteoglycin,-1.9,B4DI63
gi|114555797,"Adenylate cyclase-associated protein 1",1.3,114555797
gi|1103953,"Major histocompatibility complex, class I,C; major histocompatibility complex, class I,B",1.4,Q29932
gi|119621875,"hCG23783, isoform CRA_a",-1.4,119621875
gi|189053201,"S100 calcium binding protein A9",2.2,B2R4M6
gi|119595384,"Serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1), isoform CRA_c",2.3,119595384
gi|194373719,"Malate dehydrogenase 2, NAD (mitochondrial)",-1.4,P40926
gi|119594065,hCG1811362,1.4,C6H0M7
gi|119609127,"Triosephosphate isomerase 1",-1.6,119609127
gi|2627129,"Ubiquitin C",-1.3,P0CG48
gi|229751,"Chain A, structure of haemoglobin in the deoxy quaternary state with ligand bound at the alpha haems",-1.9,P69905
gi|119607840,"Tenascin C",2.5,A0A024R884
gi|109111058,"Tropomyosin 2 (beta)",1.3,109111058
gi|18645167,"Annexin A2",-1.4,V9HW65
gi|119602173,"Heat shock protein 90 kDa alpha (cytosolic), class A member 1",1.3,119602173
gi|119573148,"Transgelin 2",1.3,119573148
gi|119598292,"Similar to pyruvate kinase, isozymes M1/M2; pyruvate kinase, muscle",-1.9,119598292
gi|119602226,"Creatine kinase, brain",-1.8,119602226
gi|119612404,"Collagen, type XIV, alpha 1",-1.5,119612404
gi|37492,"Tubulin, alpha 1a",1.4,Q71U36
gi|119622488,"Isocitrate dehydrogenase 2 (NADP+), mitochondrial",-1.6,119622488
gi|158255378,"Protein disulfide isomerase family A, member 4",-1.3,P13667
gi|444021,"poly(rC) binding protein 1",1.4,Q15365
gi|4557395,"Carbonic anhydrase II",-1.8,P00918
gi|115298678,"Complement component 3",1.5,P01024
gi|1418930,"Collagen, type I,alpha 2",-1.9,P08123
gi|1082553,"JC-kappa protein - human",-1.3,1082553
gi|119602344,hCG2038942,-1.5,119602344
gi|4502517,"Carbonic anhydrase I",-1.6,P00915
gi|158254780,"Annexin A6",1.5,A8K3Q7
