"IPI Number","Protein Name","UniProt","T-test p value","Ratio (C/N)"
IPI00000001,"STAU1 Isoform Long of Double-stranded RNA-binding protein Staufen homolog 1",B3KRE0;Q5JW28;Q9Y3Q2;O95793;Q9H5B5;Q6PJX3;Q6GTM4;A8K9Z4;Q9H5B4;Q5JW30;Q59F99;Q5JW29,0.004,5.17
IPI00000051,"PFDN1 Prefoldin subunit 1",Q96EX6;B2RD02;O60925;Q53F95,0.041,1.642
IPI00000494,"SNORD21;RPL5 60S ribosomal protein L5",Q53HH6;A2RUM7;Q9H3F4;Q9BUV4;P46777;Q59GX9;Q8WYP1;Q32LZ3;Q5T7N0,0.015,1.523
IPI00000760,"Uncharacterized protein",O95865;A2BEZ7,0.031,0.622
IPI00000873,"VARS Valyl-tRNA synthetase",Q9UQM2;P26640;B0V1N1;Q96E77;Q5SP20;Q5JQ90,0.012,1.6
IPI00000948,"TBL2 Transducin beta-like protein 2",Q9Y4P3;Q8N2L6;Q9UQE2;Q96E41,0.029,2.148
IPI00001922,"ST14 Suppressor of tumorigenicity 14 protein",Q9HB36;Q9HCA3;Q9Y5Y6;Q8WVC1;Q9BS01;Q9H3S0,0.01,0.359
IPI00002280,"PCSK1N ProSAAS",Q9UHG2;Q4VC04,0.019,0.336
IPI00002520,"SHMT2 Serine hydroxymethyltransferase, mitochondrial",Q53ET4;O00740;Q5BJF5;Q8N1A5;B4DJQ3;P34897;Q5HYG8;B7Z9F1,0.005,3.282
IPI00002525,"NENF Neudesin",A1KYQ8;Q53FZ6;Q9UMX5;Q5TM90,0.018,1.791
IPI00002535,FKBP,Q9BTS7;Q5BJH9;Q53XJ5;P26885,0.037,0.673
IPI00002745,"CTSZ Cathepsin Z",Q9UQV5;Q9UQV6;Q9UBR2;Q5U000;B2RC40;O75331,0.009,0.632
IPI00003419,"C11orf58 Small acidic protein",B2RD28;O00193,0.016,3.419
IPI00003527,"SLC9A3R1 Na(+)/H(+) exchange regulatory cofactor NHE-RF1",Q86WQ5;O14745;O43552,0.032,0.766
IPI00003783,"MAP2K2 Dual specificity mitogen-activated protein kinase kinase 2",Q7Z370;P36507;Q6ZPC5,0.001,0.384
