Gene.Symbol,Accession.No.,Entry,"Entry name",,Fold.Change.ADE.CRC,Fold.Change.ADE.CIN,Fold.Change.ADE.MIN
MPO,IPI00007244,P05164,PERM_HUMAN,,Inf,Inf,Inf
HP1BP3,IPI00296291,Q5SSJ5,HP1B3_HUMAN,,Inf,Inf,Inf
COL18A1,IPI00783931,P39060,COIA1_HUMAN,,Inf,Inf,Inf
PLG,IPI00019580,P00747,PLMN_HUMAN,,Inf,Inf,Inf
SERPING1,IPI00291866,P05155,IC1_HUMAN,,Inf,Inf,Inf
PYGM,IPI00218130,P11217,PYGM_HUMAN,,Inf,Inf,Inf
SDF2L1,IPI00106642,Q9HCN8,SDF2L_HUMAN,,Inf,Inf,Inf
C8G,IPI00011261,P07360,CO8G_HUMAN,,Inf,NA,Inf
MNDA,IPI00013163,P41218,MNDA_HUMAN,,Inf,Inf,Inf
GC,IPI00742696,P02774,VTDB_HUMAN,,54.49,NA,53.66
HNRPUL1,IPI00013070,Q9BUJ2,HNRL1_HUMAN,,20.75,23.33,18.17
AZU1,IPI00022246,P20160,CAP7_HUMAN,,20.51,16.94,24.08
SERPINC1,IPI00032179,P01008,ANT3_HUMAN,,18.07,8.89,27.26
ITIH1,IPI00292530,P19827,ITIH1_HUMAN,,12.77,8.43,17.11
KHSRP,IPI00479786,Q92945,FUBP2_HUMAN,,12.26,9.73,14.79
VCAN,IPI00215628,P13611,CSPG2_HUMAN,,8.69,10.51,6.87
NCL,IPI00604620,P19338,NUCL_HUMAN,,8.59,10.59,6.59
NOP5/NOP58,IPI00006379,Q9Y2X3,NOP58_HUMAN,,7.85,6.8,8.89
DHX9,IPI00742905,Q08211,DHX9_HUMAN,,7.4,6.83,7.97
CALD1,IPI00014516,Q05682,CALD1_HUMAN,,6.96,8.65,5.27
LTF,IPI00298860,P02788,TRFL_HUMAN,,6.4,5.13,7.66
HRG,IPI00022371,P04196,HRG_HUMAN,,4.59,3.63,5.56
MYH9,IPI00019502,P35579,MYH9_HUMAN,,4.46,2.23,6.69
KRT19,IPI00479145,P08727,K1C19_HUMAN,,3.85,3.13,4.57
RBM4,IPI00003704,Q9BWF3,RBM4_HUMAN,,3.68,NA,4.44
KRT8,IPI00554648,P05787,K2C8_HUMAN,,2.71,1.98,3.45
SERPINA1,IPI00553177,P01009,A1AT_HUMAN,,2.13,NA,2.4
SYNCRIP,IPI00402183,O60506,HNRPQ_HUMAN,,1.77,1.9,NA
MYL6,IPI00797001,P60660,MYL6_HUMAN,,-1.35,NA,-2.76
COL6A3,IPI00022200,P12111,CO6A3_HUMAN,,-1.55,-2.48,NA
HSPA8,IPI00003865,P11142,HSP7C_HUMAN,,-1.57,-1.65,-1.5
TMEM137,IPI00013174,Q96PK6,RBM14_HUMAN,,-1.66,NA,-3.97
