"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff"
SBB+06,"mouse malignant melanoma plasma membrane",cancer,574,289,-0.1253,-0.1269,-0.0015,0.0058,0.0247,0.0189,-1.6625,-1.6639,-0.0014,0.2906,0.3132,0.0226,526,638,112,NA,NA,NA,NA,NA,NA
FWH+13,"THP-1 macrophages",,56,40,-0.1486,-0.1406,0.008,0.0332,0.0499,0.0167,-1.6813,-1.6768,0.0046,0.3577,0.3552,-0.0025,423,441.5,18.5,2.38,2.1579,-0.2221,3.25,3.2,-0.05
RHD+13_Hx48,"A431 epithelial carcinoma Hx48",cancer,211,92,-0.1422,-0.1333,0.0089,0.0117,0.0102,-0.0015,-1.6957,-1.6621,0.0336,0.3419,0.2676,-0.0743,348,426.5,78.5,2.9329,3.5821,0.6492,3.6012,4.7123,1.1111
RHD+13_Hx72,"A431 epithelial carcinoma Hx72",cancer,88,67,-0.1409,-0.1602,-0.0194,0.0197,-0.0052,-0.0249,-1.6995,-1.7095,-0.0101,0.3283,0.3133,-0.015,323,395,72,2.6481,4.2449,1.5967,3.6349,4.86,1.2251
VTMF13,"SH-SY5Y neuroblastoma",,141,64,-0.1323,-0.1452,-0.0129,0.0194,0.0428,0.0235,-1.6433,-1.7473,-0.1041,0.279,0.3678,0.0888,380,375.5,-4.5,3.3364,2.46,-0.8764,4.3917,3.5714,-0.8202
DCH+14,"mouse 4T1 cells",cancer,71,60,-0.1434,-0.1278,0.0156,0.063,0.045,-0.018,-1.7157,-1.6698,0.0459,0.3226,0.341,0.0184,636,336,-300,NA,NA,NA,NA,NA,NA
DYL+14_Hx48-S,"A431 Hx48-S",cancer,65,34,-0.1552,-0.1249,0.0303,0.0662,0.0218,-0.0444,-1.785,-1.6633,0.1217,0.3534,0.3193,-0.034,518,639.5,121.5,2.125,3.5312,1.4062,3.5,4.5,1
DYL+14_Hx72-S,"A431 Hx72-S",cancer,137,61,-0.1376,-0.1358,0.0018,0.0323,0.0119,-0.0204,-1.7125,-1.6974,0.0151,0.3129,0.3322,0.0193,646,664,18,2.6947,3.0625,0.3678,3.9208,4.0833,0.1625
DYL+14_Hx48-P,"A431 Hx48-P",cancer,74,44,-0.1545,-0.1472,0.0074,0.0457,0.0391,-0.0066,-1.7041,-1.7366,-0.0325,0.3498,0.3961,0.0463,448.5,572,123.5,2.6122,3.2188,0.6065,3.9074,3.9429,0.0354
DYL+14_Hx72-P,"A431 Hx72-P",cancer,67,53,-0.1395,-0.148,-0.0086,0.0525,0.0181,-0.0343,-1.6849,-1.7286,-0.0437,0.329,0.3582,0.0292,514,534,20,2.766,3.6579,0.8919,3.9592,4.2927,0.3335
BSA+15,"HeLa cervical cancer",cancer,53,72,-0.1486,-0.1429,0.0056,0.0157,0.0158,1e-04,-1.7408,-1.6831,0.0577,0.2889,0.3401,0.0511,282,507,225,2.7826,2.9516,0.169,4.12,3.7761,-0.3439
HWA+16,"U87MG and 786-O cancer cells",cancer,137,164,-0.1405,-0.1405,0,0.0489,0.0196,-0.0293,-1.7188,-1.7115,0.0073,0.3176,0.3349,0.0173,406,427.5,21.5,2.0661,2.5369,0.4708,3.553,3.9268,0.3738
LCS16_translation,"HCT116 colon cancer translation",cancer,469,1024,-0.1244,-0.1453,-0.0209,0.0157,-0.0092,-0.0249,-1.6515,-1.7062,-0.0547,0.2699,0.3351,0.0652,282,605,323,3.5305,3.8523,0.3218,4.5479,4.6627,0.1148
CGH+17_whole,"mouse CF whole",,38,48,-0.1293,-0.1415,-0.0121,0.0402,0.0478,0.0076,-1.6653,-1.6757,-0.0105,0.3168,0.3908,0.074,768.5,394,-374.5,NA,NA,NA,NA,NA,NA
ZXS+17,"U87 and U251 glioblastoma cells",cancer,143,122,-0.1555,-0.1292,0.0262,0.0403,-0.0076,-0.048,-1.751,-1.6769,0.0741,0.3887,0.2978,-0.0909,358,419,61,2.75,3.0132,0.2632,3.7755,3.8101,0.0346
