Experiment,UniProtKB,Name,t010/t000,t030/t000,t060/t000,t120/t000
prot-cytosol,P28015,spoVG,-0.652,-1.425,-1.335,-0.995
prot-cytosol,P94558,ysnA,-0.01,-0.19,0.123,0.442
prot-cytosol,O31705,moaE,0.1,-0.02,0.143,0.31
prot-cytosol,P94568,leuD,-0.117,-0.14,-0.193,-0.407
prot-cytosol,P25995,pyrC,0.213,0.197,0.133,-0.143
prot-cytosol,P50736,ypdA,0.115,0.21,0.357,0.55
prot-cytosol,P31102,aroB,-0.067,0.097,-0.043,-0.213
prot-cytosol,P19669,tal,0.193,0.057,0.11,0.287
prot-cytosol,O32174,gcvH,-0.017,-0.393,-0.027,-0.073
prot-cytosol,P39594,thiE,0.275,0.185,0.235,0.135
prot-cytosol,P12041,purQ,-0.015,0.66,0.15,-0.05
prot-cytosol,O31790,ymaD,-0.335,-0.325,-0.475,-0.585
prot-cytosol,P46336,iolS,0.093,-0.068,-0.003,0.267
prot-cytosol,O32264,yvcT,0.087,-0.21,0.06,0.36
prot-cytosol,O32075,yuaI,0.155,0.215,1.68,1.305
prot-cytosol,P21472,rpsL,0.045,1.345,1.465,1.4
prot-cytosol,P19582,hom,-0.287,0,0.083,0.55
prot-cytosol,O31760,rnjB,0.033,0.05,0.057,-0.12
prot-cytosol,P80244,clpP,-0.287,-0.142,0.077,0.15
prot-cytosol,Q9KWU4,pyc,-0.062,-0.105,-0.035,0.172
prot-cytosol,P37487,ppaC,0.028,0.082,0.045,-0.092
prot-cytosol,P46920,opuAA,-0.002,-0.108,-0.065,0.598
prot-cytosol,P39793,ponA,-0.517,-0.443,-1.123,-0.37
prot-cytosol,P42298,yxiF,0.245,0.065,0.015,-0.485
prot-cytosol,O32076,yuaG,-0.468,0.72,0.782,1.853
prot-cytosol,P37551,purR,-0.27,0.073,0.043,-0.023
prot-cytosol,P08065,sdhA,0.02,-0.16,-0.37,-0.257
prot-cytosol,P32731,rbfA,-0.04,0.573,0.72,0.893
prot-cytosol,P12040,purN,0.02,0.313,0.003,-0.187
prot-membrane,P71021,divIVA,1.947,2.337,1.907,1.857
prot-membrane,P49814,mdh,1.235,1.233,1.033,1.05
prot-membrane,P81100,yceC,0.763,1.29,0.98,0.83
prot-membrane,O34629,yerH,-1.293,-1.215,-1.255,-1.317
prot-membrane,O06965,yvrA,-0.843,-0.747,-0.503,-0.23
prot-membrane,O34814,ftsE,1.193,1.37,0.94,0.933
prot-membrane,P40780,ytxH,-0.107,0.853,1.09,1.222
prot-membrane,O31501,swrC,-0.553,-0.337,-0.2,-0.313
prot-membrane,O32107,yuiD,-0.905,-0.707,-0.287,-0.243
prot-membrane,O34641,ytrB,0.393,0.683,0.587,0.68
prot-membrane,P46920,opuAA,0.503,0.927,1.023,1.133
prot-membrane,P16336,secY,-0.648,-0.538,-0.378,-0.502
prot-membrane,P16524,patA,1.527,1.397,1.217,0.94
prot-membrane,P28366,secA,0.727,1.263,1.183,1.087
prot-membrane,O07523,yhaP,-0.45,-0.387,-0.297,-0.37
prot-membrane,Q45593,yydI,0.5,0.84,0.593,0.54
prot-membrane,P13484,tagE,0.687,1.073,0.893,0.937
prot-membrane,P39793,ponA,-0.643,-0.703,-0.523,-0.402
prot-membrane,Q45462,opuBC,-1.57,-0.72,-0.207,0.36
prot-membrane,P24469,cccA,-1.755,-1.94,-0.153,-0.427
prot-membrane,O32101,yueB,-1.89,-2.06,-1.47,-1.253
prot-membrane,P96605,ydbJ,0.828,0.943,0.753,0.71
prot-membrane,O31567,yfiY,-0.895,-0.958,-1.012,-1.102
prot-membrane,O31771,ymfM,-0.443,-0.423,-0.3,-0.287
prot-membrane,O06478,yfmT,0.923,0.547,-0.618,-0.317
prot-membrane,P46344,yqfF,-0.593,-0.607,-0.28,-0.303
prot-membrane,P80866,yurY,1.853,1.737,1.84,2.22
prot-membrane,P80861,yjlD,0.893,1.43,1.217,1.053
prot-membrane,P50839,gpsB,0.95,0.883,0.747,0.557
prot-membrane,Q45460,opuBA,-0.22,0.365,0.58,0.985
prot-membrane,P04969,rpsK,0.907,1.187,0.97,1.007
