ID,Entry,Description,Proteome_15,Proteome_60,Proteome_180
Cg0237,Q8NTW3,"[C]: putative oxidoreductase",1.4,0.6,1.25
Cg0238,Q8NTW2,"[C]:FAD/FMN-containing dehydrogenase",0.23,0.6,1.33
Cg0310,Q8NTQ1,"(katA) [C]: Katalase",1.9,1.5,NA
Cg0418,Q8NTF9,"[C]: putative aminotransferase",0.75,0.9,1.6
Cg0424,Q8NTF3,"[C]: putative glycosyltransferase",0.7,0.6,1.05
Cg0441,Q8NTE1,"(lpd) [C]: dihydrolipoamide dehydrogenase",-0.2,1.35,1.15
Cg0445,Q8NTD7,"(sdhCD) [M]: succinate dehydrogenase CD",-0.3,-0.63,-0.8
Cg0446,Q8NTD6,"(sdhA) [C]: succinate dehydrogenase A",-0.36,-0.43,-0.73
Cg0447,Q8NTD5,"(sdhB) [C]: succinate dehydrogenase B",-0.36,-0.5,-0.85
Cg0448,Q8NTD4,"[M]: conserved hypothetical membrane prot.",-0.47,-0.47,-0.8
Cg0490,P0C1E4,"(proC) [C]: Pyrroline5carboxylate reductase",NA,NA,NA
Cg0572,Q8NT29,"(rplJ) [C]: 50S ribosomal protein L10",1,1.43,1.3
Cg0583,Q8NT19,"(fusA) [C]: elongation factor G",0.56,0.63,1.03
Cg0587,P42439,"(tuf) [C]: elongation factor TU",0,0.53,1.4
Cg0699,Q8NSR5,"(guaB2) [C]: inositol-monophosphate DH",-1.3,-2.2,NA
Cg0703,Q8NSR1,"(guaA) [C]: putative GMP synthase",0.35,0.95,1.1
Cg0737,Q8NSN1,"(metQ) [S]: ABC-type transport system, secreted lipoprotein",-0.3,-0.55,-1.4
Cg0752,Q8NSL8,"[S]: putative secreted or membrane protein",2.58,2.58,2.08
Cg0755,Q79VI4,"(metY) [C]: O-Acetylhomoserine (Thiol)-Lyase",0.5,0.1,1.3
Cg0756,Q8NSL6,"(cstA) [M]: putative carbon starvation protein A",-1.15,-1.5,-2.8
Cg0766,P50216,"(icd) [C]: Isocitrate Dehydrogenase",0.3,0.8,2
Cg0771,Q8NSK2,"(irp1) [S]: DtxR/iron regulated lipoprotein precurser",-0.4,-0.3,-1.35
