"Spot No.","Accession No.",Description,"Av. ratio (high/low)"
1a,gi|50555229,"Triosephosphate isomerase",2.97
1b,NA,NA,1.21
2,gi|50556202,"Enolase 2",-1.62
3,gi|51012446,"Mitochondrial aconitate hydratase",3.22
4a,gi|210075935,"Malate dehydrogenase",2.14
4b,NA,NA,1.42
5,gi|50550873,"Malate dehydrogenase",1.99
6,gi|210075865,"Isocitrate dehydrogenase",-2
7,gi|210075713,"Succinate dehydrogenase flavoprotein subunit SDH1",-1.45
8,gi|50552436,Transketolase,2.6
9,gi|50551783,"K+ activated aldehyde dehydrogenase, mitochondrial",1.92
10,gi|50553052,"Lactate dehydrogenase",2.87
11,gi|50553496,"Cytochrome c oxidase subunit 4, mitochondrial",1.56
12,gi|50550443,"Cytochrome-b5 reductase, mitochondrial",1.83
13,gi|50555522,"Cytochrome b-c1 complex subunit 2, mitochondrial",-1.84
14,gi|210075943,"Mitochondrial ATP synthase gamma subunit",-2.48
15a,gi|50552928,"5-Methyltetrahydropteroyltriglutamate-homocysteine methyltransfera",2.13
15b,NA,NA,1.73
16,gi|50556290,"Glutamate dehydrogenase",-1.81
17a,gi|50553214,"Serine hydroxymethyltransferase",NA
17b,NA,NA,-3.19
17c,NA,NA,1.63
18,gi|50548179,"Eukaryotic initiation factor 1",1.57
19,gi|50547339,"40S ribosomal protein S19-A",1.5
20,gi|50555007,"Seryl-tRNA synthetase",-2.28
21,gi|50556866,"60S ribosomal protein L2",-2.48
22,gi|50548125,"60S ribosomal protein L4",NA
23,gi|2997727,"Translation elongation factor 1-alpha",-10.4
24,gi|50553568,"Phosphoribosyl transferase",-3.43
25,gi|50553396,"3-Ketoacyl-CoA thiolase, peroxisomal",1.79
26,gi|50554955,Pyridoxine-4-dehydrogenase,1.53
27,gi|50546136,"Aldo-keto reductases",5.12
28a,gi|50556354,"Aldo-keto reductases",1.85
28b,NA,NA,1.72
28c,NA,NA,2.05
29,gi|50551205,"12 kDa heat shock protein",1.69
30,gi|50547857,"Small heat shock protein (HSP20) family",2.04
31,gi|50548309,"Heat shock protein STI1",1.57
32,gi|50555850,"DnaJ homolog 1, mitochondrial",1.54
33,gi|50551349,"Member of HSP70 family",-1.49
34,gi|50553006,"78 kDa glucose-regulated protein homolog",-3.22
35,gi|50553945,"Peroxiredoxin (PRX) family, PRX5-like subfamily",2.15
36a,gi|50554753,"Catalase T",1.5
36b,NA,NA,5.64
37,gi|50554713,"Catalase T",1.74
38,gi|50546383,"Superoxide dismutase",1.56
39a,gi|50547013,Cerevisin,1.7
39b,NA,NA,1.41
40,gi|50542930,"Potassium channel-beta subunit",-2.37
41a,gi|50548497,"Sphingolipid long-chain base-responsive protein",-2.2
41b,NA,NA,-1.29
42,gi|210076085,Tropomyosin-2,2.59
43,gi|50545279,"Unknown function",1.63
44,gi|210075981,"Unknown function",1.62
