ID,Entry,Annotation,"Fold change"
PAAG_01563,C1GSR8,"Aromatic L amino acid decarboxylase",1.86
PAAG_06947,C1H8F1,"Gamma glutamyltranspeptidase",Inf
PAAG_08649,C1HD08,"Cysteine dioxygenase",Inf
PAAG_07601,C1HAE7,"Ornithine carbamoyltransferase",Inf
PAAG_06431,C1H6P0,"Ornithine aminotransferase",Inf
PAAG_01969,C1GTX4,Arginase,Inf
PAAG_02935,C1GWP0,"Glycine cleavage system H protein",Inf
PAAG_01432,C1GSD7,"Prephenate dehydrogenase",Inf
PAAG_07813,C1HA84,"Cysteine synthase",Inf
PAAG_09095,C1HE96,"ATP phosphoribosyltransferase",Inf
PAAG_03138,C1GYI4,"Alanine glyoxylate aminotransferase",Inf
PAAG_01002,C1GR57,"NAD specific glutamate dehydrogenase",Inf
PAAG_01310,C1GS15,"2 oxoisovalerate dehydrogenase subunit alpha mitochondrial",Inf
PAAG_02693,C1GVZ8,"Saccharopine dehydrogenase",Inf
PAAG_01369,C1GS74,"Betaine aldehyde dehydrogenase",Inf
PAAG_02975,C1GY21,"2 4 dihydroxyhept 2 ene 1 7 dioic acid aldolase",Inf
PAAG_06217,C1H5M2,"Acetylornithine aminotransferase",Inf
PAAG_04103,C1H009,"Methylcrotonoyl CoA carboxylase beta chain",Inf
PAAG_08718,C1HD77,"Succinate semialdehyde dehydrogenase",Inf
PAAG_01194,C1GRP9,"2 oxoisovalerate dehydrogenase subunit beta",Inf
PAAG_06506,C1H6W5,"Aspartate aminotransferase",1.54
PAAG_04309,C1H0L5,"3-dehydroshikimate dehydratase",Inf
PAAG_05416,C1H3S3,"NADP dependent leukotriene B4 12 hydroxydehydrogenase",Inf
PAAG_01935,C1GTU0,"Formyl coenzyme A transferase",Inf
PAAG_01524,C1GSM9,"Fatty acid synthase subunit beta dehydratase",Inf
PAAG_07900,C1HAS1,"Phosphatidylinositol phosphatidylcholine transfer protein",Inf
PAAG_00691,C1GQ96,"Fumarylacetoacetate hydrolase domain containing protein",Inf
PAAG_01536,C1GSP1,"Trans 2 enoyl CoA reductase",Inf
PAAG_03024,C1GY70,"3 ketodihydrosphingosine reductase tsc10",Inf
PAAG_02843,C1GWE8,"3-oxoacyl-(Acyl-carrier-protein) reductase",Inf
PAAG_06333,C1H6E2,"Acyl-CoA thioesterase",Inf
PAAG_08994,C1HE01,"Leukotriene A 4 hydrolase",Inf
PAAG_04966,C1H2H3,Nitrilase,Inf
PAAG_06817,C1H7S6,"UTP glucose 1 phosphate uridylyltransferase",Inf
PAAG_04181,C1H087,"Sorbitol utilization protein SOU2","1,52"
PAAG_04602,C1H1F8,"Mannosyl oligosaccharide glucosidase",Inf
PAAG_00685,C1GQ90,"Alpha mannosidase",Inf
PAAG_00705,C1GQB0,"Mitochondrial presequence protease",Inf
PAAG_08901,C1HDP4,"Glyoxylate reductase",Inf
PAAG_00545,C1GPV0,"Glycogen phosphorylase",Inf
PAAG_03776,C1GZ32,"Inositol 3 phosphate synthase",Inf
PAAG_00433,C1GPI8,"Adenosine kinase",2.66
PAAG_03530,C1GXF6,"Phosphoribosylamine glycine ligase",Inf
PAAG_00799,C1GQK4,"Uroporphyrinogen decarboxylase",Inf
PAAG_08856,C1HDL5,"Nicotinate nucleotide pyrophosphorylase",Inf
PAAG_05904,C1H563,"Ubiquinone biosynthesis protein coq 4",Inf
PAAG_00564,C1GPW9,Actin,Inf
PAAG_00875,C1GQT0,"Actin organizing complex subunit Sop2",Inf
PAAG_00753,C1GQF8,"Proteasome component C11",29.96
PAAG_00866,C1GQS1,"Proteasome component C5",Inf
PAAG_03536,C1GXG2,"Proteasome component PRE5",Inf
PAAG_02907,C1GWL2,"26S proteasome non-ATPase regulatory subunit 10",Inf
PAAG_03719,C1GYX5,"Thimet oligopeptidase",Inf
PAAG_00664,C1GQ69,"Aspartyl aminopeptidase",Inf
PAAG_03279,C1GXZ6,Aminopeptidase,Inf
PAAG_07500,C1H9Q9,"Xaa Pro aminopeptidase",Inf
PAAG_07319,C1H978,"Xaa Pro aminopeptidase",Inf
PAAG_05417,C1H3S4,"Processing peptidase subunit beta",Inf
PAAG_02135,C1GUE0,"Prefoldin subunit",Inf
PAAG_07185,C1H8U4,"Arp2/3 complex subunit",Inf
PAAG_08295,C1HC04,"Pyruvate dehydrogenase E1 component subunit alpha",Inf
PAAG_01995,Q96UH7,"Fructose 1,6, bisphosphate aldolase",1.67
PAAG_00726,C1GQD1,"Pyruvate carboxylase",Inf
PAAG_05621,C1H4C8,"6 phosphogluconolactonase",Inf
