id,Protein.IDs,Gene.Names,Protein.Descriptions,Uniprot,X.24h.GLUCOSE.Control,X24h.GLUCOSE.Control.TTest.Up,X24h.GLUCOSE.Control.TTest.Down
991,IPI00154054,Acat1,"Acetyl-CoA acetyltransferase, mitochondrial precursor",Q8QZT1;Q3TQP7,0.7296,0.9944,0.0056
135,IPI00111265;IPI00857651;IPI00474253,Capza2;Cappa2,"F-actin-capping protein subunit alpha-2;20 kDa protein",P47754;Q3U7G3;Q3UBZ3;Q3UCD2;Q5DQJ3,0.5268,0.9974,0.0026
886,IPI00134311;IPI00831556,Ins2;Ins-2,"Insulin-2 precursor",P01326;Q5EEX1,0.2705,0.9972,0.0028
907,IPI00135604,Pcsk1n,"ProSAAS precursor",Q9QXV0;A2AD58,0.4174,1,0
874,IPI00133920,Sec13;Sec13l1,"Protein SEC13 homolog",Q9D1M0,0.5256,0.9935,0.0065
1586,IPI00338964;IPI00468900,Atp2a2,"Isoform SERCA2B of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2;Isoform SERCA2A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2",O55143-1;O55143;Q5DTI2;O55143-2;O54994,0.6572,0.9998,0.0002
1360,IPI00336889;IPI00311200;IPI00399963;IPI00875734,Atp2a3,"Isoform SERCA3B of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3;ATPase, Ca++ transporting, ubiquitous;Isoform SERCA3A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3;Atp2a3 protein",Q64518-1;Q64518;Q64518-3;Q3U1K2;Q5SSI0;Q8VD16;Q91YM6;Q64518-2;Q3U6T4;Q5SSI1;Q8C213;Q8K3Y5;Q8R0X5,0.7002,0.9952,0.0048
853,IPI00133418;IPI00608095,Scg2;Chgc;Scg-2,"Secretogranin-2 precursor;Scg2 protein",Q03517;Q4W8U9,0.7288,0.9916,0.0084
802,IPI00132604;IPI00653426,Scamp3,"12 days embryo male wolffian duct includes surrounding region cDNA, RIKEN full-length enriched library, clone:6720482P16 product:secretory carrier membrane protein 3, full insert sequence;NOD-derived CD11c +ve dendritic cells cDNA, RIKEN full-length enrich",O35609;Q3TUV6;Q3UK26;Q3UXS0;Q3TDM8,0.1751,0.9982,0.0018
777,IPI00132248,Sst;Smst,"Somatostatin precursor",P60041;Q545V6,0.2535,0.997,0.003
633,IPI00127982;IPI00337044;IPI00337045;IPI00468887;IPI00320921;IPI00336619;IPI00336618;IPI00118092;IPI00228694;IPI00336485;IPI00336621;IPI00467898,Sytl4;Slp4,"Isoform 1 of Synaptotagmin-like protein 4;Isoform 2 of Synaptotagmin-like protein 4;Isoform 3 of Synaptotagmin-like protein 4",Q9R0Q1-1;Q9R0Q1;Q549X6;Q9R0Q1-2;A2AGL0;Q9R0Q1-3;A2AGL1,0.577,0.9998,0.0002
1211,IPI00229703,Vamp2;Syb2,"Vesicle-associated membrane protein 2",P63044;O35619;Q8CHR4,0.3736,0.9994,0.0006
1740,IPI00453589,Vamp8,"Vesicle-associated membrane protein 8",O70404;Q3V4C2,0.5526,0.9978,0.0022
2040,IPI00845652;IPI00420882;IPI00626237;IPI00719841;IPI00460118;IPI00650018;IPI00649744,Ogdh;Kiaa4192,"Isoform 3 of 2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor;Isoform 4 of 2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor;Isoform 1 of 2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor;Isoform 2 of 2-o",Q60597-3;Q60597;Q60597-4;Q60597-1;Q60597-2,1.1199,0.0017,0.9983
252,IPI00115564;IPI00265371,Slc25a4;Anc1;Ant1,"ADP/ATP translocase 1",P48962;Q8BVI9,1.4673,0.0007,0.9993
1106,IPI00223757;IPI00653019;IPI00754943,Akr1b1;Akr1b3;Aldor1;Aldr1,"Aldose reductase;1 cell embryo 1 cell cDNA, RIKEN full-length enriched library, clone:I0C0032P03 product:aldo-keto reductase family 1, member B3 (aldose reductase), full insert sequence;20 kDa protein",P45376;Q3TCL2;Q3UDY1;Q5U415;Q3ULP0,1.3057,0.0065,0.9935
