"UniProtKB.ID","Uniprot.Protein.Code","Protein.Name","Gene.names","Elucidator.Expression.Ratio..Treated.Control.","P.value..Ratio.Data."
1433B_HUMAN,P31946,"14-3-3 protein beta/alpha ",YWHAB,1.03,0.8279
1433E_HUMAN,P62258,"14-3-3 protein epsilon ",YWHAE,1.35,5.43e-20
1433F_HUMAN,Q04917,"14-3-3 protein eta ",YWHAH ,1.25,2.28e-07
1433G_HUMAN,P61981,"14-3-3 protein gamma ",YWHAG,0.72,1.11e-09
1433T_HUMAN,P27348,"14-3-3 protein theta ",YWHAQ,1.24,0.0145
1433Z_HUMAN,P63104,"14-3-3 protein zeta/delta ",YWHAZ,1.06,0.1613
5NTD_HUMAN,P21589,"5'-nucleotidase ",NT5E ,0.62,7.7e-40
ACLY_HUMAN,P53396,"ATP-citrate synthase ",ACLY,0.64,4.2e-08
ACTA_HUMAN,P62736,"Actin, aortic smooth muscle ",ACTA2 ,0.86,0.0502
ACTB_HUMAN,P60709,"Actin, cytoplasmic 1 ",ACTB,0.8,0.000105
ACTBL_HUMAN,Q562R1,"Beta-actin-like protein 2 ",ACTBL2,1.15,0.0808
ACTBM_HUMAN,Q9BYX7,"Beta-actin-like protein 3 ",POTEKP ,0.55,2.55e-18
ACTG_HUMAN,P63261,"Actin, cytoplasmic 2 ",ACTG1 ,0.88,0.0035
ACTN1_HUMAN,P12814,"Alpha-actinin-1 ",ACTN1,0.96,0.1417
ACTN2_HUMAN,P35609,"Alpha-actinin-2 ",ACTN2,0.97,0.6057
ACTN3_HUMAN,Q08043,"Alpha-actinin-3 ",ACTN3,0.98,0.8929
ACTN4_HUMAN,O43707,"Alpha-actinin-4 ",ACTN4,0.74,8.96e-35
ACTS_HUMAN,P68133,"Actin, alpha skeletal muscle ",ACTA1 ,1.06,0.2564
AINX_HUMAN,Q16352,"Alpha-internexin ",INA ,0.82,0.0059
AK1C2_HUMAN,P52895,"Aldo-keto reductase family 1 member C2 ",AKR1C2 ,4.93,0
AK1C4_HUMAN,P17516,"Aldo-keto reductase family 1 member C4 ",AKR1C4 ,5.7,1.82e-44
ALDOA_HUMAN,P04075,"Fructose-bisphosphate aldolase A ",ALDOA ,0.97,0.4428
ALDR_HUMAN,P15121,"Aldose reductase ",AKR1B1 ,3.52,0
AMPN_HUMAN,P15144,"Aminopeptidase N ",ANPEP ,1.1,0.0147
ANXA1_HUMAN,P04083,"Annexin A1 ",ANXA1 ,1.4,5.23e-31
ANXA2_HUMAN,P07355,"Annexin A2 ",ANXA2 ,0.78,9.79e-18
ANXA5_HUMAN,P08758,"Annexin A5 ",ANXA5 ,1.05,0.0163
ANXA6_HUMAN,P08133,"Annexin A6 ",ANXA6 ,1.05,0.0023
ARF4_HUMAN,P18085,"ADP-ribosylation factor 4 ",ARF4 ,1.46,7.75e-21
ARFP1_HUMAN,P53367-2,"Isoform 1a of Arfaptin-1 ",ARFIP1,1.26,0.2062
ARP3_HUMAN,P61158,"Actin-related protein 3 ",ACTR3 ,0.95,0.1802
ARPC2_HUMAN,O15144,"Actin-related protein 2/3 complex subunit 2 ",ARPC2 ,0.17,4.55e-18
ARPC4_HUMAN,P59998,"Actin-related protein 2/3 complex subunit 4 ",ARPC4 ,1.55,2.74e-06
ATPA_HUMAN,P25705,"ATP synthase subunit alpha, mitochondrial ",ATP5A1 ,1.79,2.52e-09
ATPB_HUMAN,P06576,"ATP synthase subunit beta, mitochondrial ",ATP5B ,1.18,1.78e-07
AXA2L_HUMAN,A6NMY6,"Putative annexin A2-like protein ",ANXA2P2 ,0.78,1.1e-18
BGH3_HUMAN,Q15582,"Transforming growth factor-beta-induced protein ig-h3 ",TGFBI ,0.87,0.0322
CALD1_HUMAN,Q05682,"Caldesmon ",CALD1 ,0.94,0.2115
CALD1_HUMAN,Q05682-5,"Isoform HELA L-CAD II of Caldesmon ",CALD1 ,1.88,3.64e-25
CALR_HUMAN,P27797,"Calreticulin ",CALR ,0.7,1.36e-18
CALU_HUMAN,O43852-2,"Calumenin ",CALU,0.73,0.0904
CALX_HUMAN,P27824,"Calnexin ",CANX,1.02,0.5717
CAN2_HUMAN,P17655,"Calpain-2 catalytic subunit ",CAPN2 ,1.23,0.0017
CAP1_HUMAN,Q01518,"Adenylyl cyclase-associated protein 1 ",CAP1 ,0.84,9.54e-13
CATB_HUMAN,P07858,"Cathepsin B ",CTSB ,0.83,0.0371
CAZA2_HUMAN,P47755,"F-actin-capping protein subunit alpha-1 ",CAPZA2,1.17,0.0355
CBR1_HUMAN,P16152,"Carbonyl reductase [NADPH] 1 ",CBR1 ,1.11,0.1153
CD44_HUMAN,P16070-10,"Isoform Keratinocyte of CD44 antigen ",CD44 ,1.44,4.79e-10
